RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
164,4,2011-04-17T04:00:00.000Z,SHAMROCK RD ,18125,Unsexed - 1 Year         ,2010,200
165,4,2011-04-13T04:00:00.000Z,WERTLAND ST ,18126,Unsexed - 1 Year         ,2010,1200
166,4,2011-04-21T04:00:00.000Z,UNKNOWN ,18127,Unsexed - 1 Year         ,2010,0
167,4,2012-10-13T04:00:00.000Z,OXFORD RD ,18128,Unsexed - 1 Year         ,2010,1400
168,10,2011-04-15T04:00:00.000Z,ORANGEDALE AVE ,18129,Sexed - 1 Year           ,2010,700
169,4,2014-12-10T05:00:00.000Z,BLENHEIM AVE ,18130,Unsexed - 1 Year         ,2010,700
170,4,2011-01-27T05:00:00.000Z,SUMMIT ST ,18131,Unsexed - 1 Year         ,2010,100
171,4,2011-04-14T04:00:00.000Z,PALATINE AVE ,18132,Unsexed - 1 Year         ,2010,600
172,4,2011-04-05T04:00:00.000Z,APPLE TREE RD ,18133,Unsexed - 1 Year         ,2010,100
173,4,2011-03-30T04:00:00.000Z,BRANDON AVE ,18134,Unsexed - 1 Year         ,2010,500
174,10,2013-04-28T04:00:00.000Z,UNKNOWN ,18135,Sexed - 1 Year           ,2010,0
175,4,2013-04-14T04:00:00.000Z,UNKNOWN ,18136,Unsexed - 1 Year         ,2010,0
176,4,2013-04-14T04:00:00.000Z,UNKNOWN ,18137,Unsexed - 1 Year         ,2010,0
177,4,2011-04-29T04:00:00.000Z,UNKNOWN ,18138,Unsexed - 1 Year         ,2010,0
178,4,2015-05-18T04:00:00.000Z,KING ST ,18139,Unsexed - 1 Year         ,2010,13000
179,4,2013-11-20T05:00:00.000Z,UNASSIGNED ,18140,Unsexed - 1 Year         ,2010,0
180,4,2011-05-22T04:00:00.000Z,FAIRWAY AVE ,18141,Unsexed - 1 Year         ,2010,4000
181,4,2011-05-05T04:00:00.000Z,NORTH BERKSHIRE RD ,18142,Unsexed - 1 Year         ,2010,2300
182,4,2011-04-30T04:00:00.000Z,17TH ST NW ,18143,Unsexed - 1 Year         ,2010,500
183,4,2015-03-21T04:00:00.000Z,RAYMOND RD ,18144,Unsexed - 1 Year         ,2010,900
184,4,2011-03-12T05:00:00.000Z,MONTE VISTA AVE ,18145,Unsexed - 1 Year         ,2010,200
185,4,2013-06-14T04:00:00.000Z,WOODLAND DR ,18146,Unsexed - 1 Year         ,2010,2500
186,4,2011-05-01T04:00:00.000Z,CABELL AVE ,18147,Unsexed - 1 Year         ,2010,8200
187,4,2012-05-19T04:00:00.000Z,MONTICELLO AVE ,18148,Unsexed - 1 Year         ,2010,600
188,4,2010-10-16T04:00:00.000Z,BELLEVIEW AVE ,18149,Unsexed - 1 Year         ,2010,1200
189,4,2017-04-30T04:00:00.000Z,CENTER AVE ,18150,Unsexed - 1 Year         ,2010,22100
190,4,2011-01-02T05:00:00.000Z,SHAMROCK RD ,18152,Unsexed - 1 Year         ,2010,600
191,4,2011-05-19T04:00:00.000Z,11TH ST NW ,18153,Unsexed - 1 Year         ,2010,300
192,10,2013-05-28T04:00:00.000Z,11TH ST NW ,18154,Sexed - 1 Year           ,2010,300
193,10,2011-04-30T04:00:00.000Z,UNKNOWN ,18155,Sexed - 1 Year           ,2010,0
194,10,2011-05-18T04:00:00.000Z,PROSPECT AVE ,18156,Sexed - 1 Year           ,2010,7300
195,10,2011-02-11T05:00:00.000Z,CHESAPEAKE ST ,18157,Sexed - 1 Year           ,2010,1700
196,4,2010-11-26T05:00:00.000Z,RIVES ST ,18158,Unsexed - 1 Year         ,2010,900
197,4,2015-01-12T05:00:00.000Z,PROSPECT AVE ,18159,Unsexed - 1 Year         ,2010,700
198,4,2013-12-30T05:00:00.000Z,PLATEAU RD ,18160,Unsexed - 1 Year         ,2010,2500
199,4,2014-08-03T04:00:00.000Z,AGNESE ST ,18161,Unsexed - 1 Year         ,2010,1200
200,4,2021-02-28T05:00:00.000Z,AGNESE ST ,18162,Unsexed - 1 Year         ,2010,1200
201,4,2015-11-21T05:00:00.000Z,AGNESE ST ,18163,Unsexed - 1 Year         ,2010,1200
202,4,2017-09-19T04:00:00.000Z,BANBURY ST ,18164,Unsexed - 1 Year         ,2010,2200
203,4,2018-02-10T05:00:00.000Z,BAILEY RD ,18165,Unsexed - 1 Year         ,2010,600
204,4,2014-05-20T04:00:00.000Z,THOMSON RD ,18166,Unsexed - 1 Year         ,2010,19500
205,4,2017-02-14T05:00:00.000Z,ROSE HILL DR ,18167,Unsexed - 1 Year         ,2010,11600
